"名字";"国家";"联赛";"声望";"平均年龄";"收支结余";"转会预算";"转会余额";"工资预算";"状态";"TF";"YF";"JC";"球场容量";"平均上座";"评分";"潜力评分";"Unique ID"
"Zvolen";"Slovakia";"Second Division";"1,500";"0.0";"13,270";"0";"0";"0";"职业";"9";"6";"7";"1,870";"450";"0.0%";"0.0%";"63,010,804"
"Zvijezda 09";"Bosnia & Herzegovina";"First League RS";"3,500";"0.0";"195,600";"0";"0";"0";"职业";"7";"6";"7";"1,000";"128";"0.0%";"0.0%";"21,027,437"
"Zvijezda";"Bosnia & Herzegovina";"First League FBiH";"4,000";"26.5";"0";"0";"0";"0";"职业";"8";"7";"7";"5,000";"650";"11.1%";"11.3%";"8,403,739"
"Zviahel";"Ukraine";"First League";"2,519";"25.3";"-61,560";"10,350";"390";"5,330";"职业";"3";"4";"3";"3,000";"511";"58.6%";"63.8%";"71,105,199"
"Zvezda SPb";"Russia";"Second Division B Group 2";"3,050";"27.7";"0";"0";"0";"0";"职业";"2";"3";"3";"3,000";"145";"32.4%";"34.3%";"58,070,690"
"Zvezda Perm";"Russia";"Jupiler Pro League";"3,000";"0.0";"0";"0";"0";"0";"职业";"7";"7";"8";"14,999";"2,465";"0.0%";"0.0%";"477,600"
"Zvezda Irkutsk";"Russia";"Jupiler Pro League";"1";"0.0";"0";"0";"0";"0";"职业";"10";"7";"5";"3,231";"250";"0.0%";"0.0%";"130,562"
"Zürich";"Switzerland";"Super League";"5,870";"26.8";"5,532,370";"0";"0";"0";"职业";"14";"15";"17";"26,104";"16,038";"51.2%";"53.9%";"1,854"
"Zumbi";"Brazil";"Lower Division";"1,896";"21.5";"553,780";"53,970";"53,970";"1,520";"职业";"4";"2";"3";"4,000";"900";"48.8%";"52.7%";"313,670"
"Zulte Waregem";"Belgium";"Jupiler Pro League";"5,679";"23.2";"29,180";"1,986,180";"2,899,200";"87,940";"职业";"15";"14";"15";"12,414";"7,562";"67.4%";"71.5%";"299"
"Zulia F.C.";"Venezuela";"Jupiler Pro League";"3,800";"0.0";"408,270";"0";"0";"0";"职业";"10";"9";"9";"500";"250";"0.0%";"0.0%";"86,000,289"
"ZTE";"Hungary";"Division I";"5,100";"30.0";"298,040";"0";"0";"0";"职业";"8";"7";"7";"11,200";"2,400";"18.0%";"18.4%";"1,068"
