name,age,nationality,club,league,position,overall,potential,value,wage,height,weight,preferred_foot,pace,shooting,passing,dribbling,defending,physical
Hugo López,26,Spain,Manchester City,Premier League,GK,81,80,10530000,1000,188,76,Right,69,52,66,63,77,78
Noah Van Dijk,34,Netherlands,Manchester City,Premier League,GK,87,89,6090000,1000,199,92,Left,67,70,82,75,81,83
Arthur Santos,27,Brazil,Manchester City,Premier League,CB,77,83,10010000,1000,188,82,Left,81,69,70,74,74,81
Lucas Jacobs,32,Belgium,Manchester City,Premier League,CB,76,72,6840000,1000,193,85,Right,68,58,69,73,79,85
Gael Ferreira,26,Brazil,Manchester City,Premier League,CB,80,83,10400000,1000,194,81,Right,90,60,87,72,80,89
Bruno Fernández,31,Argentina,Manchester City,Premier League,CB,84,80,8400000,1000,186,73,Right,86,67,76,75,97,89
Riccardo Colombo,31,Italy,Manchester City,Premier League,LB,88,87,8800000,1000,178,69,Left,95,80,86,91,96,95
Heitor Oliveira,29,Brazil,Manchester City,Premier League,LB,89,86,10680000,1000,171,61,Left,99,69,92,93,86,96
Thiago López,29,Argentina,Manchester City,Premier League,RB,74,72,8880000,1000,178,75,Left,73,62,69,73,69,77
Lucas De Vries,34,Netherlands,Manchester City,Premier League,RB,83,98,5810000,1000,176,67,Right,78,75,89,68,97,88
Afonso Santos,26,Portugal,Manchester City,Premier League,CDM,83,85,10790000,1000,183,76,Right,75,70,93,75,90,82
Elias Schneider,25,Germany,Manchester City,Premier League,CDM,90,99,11700000,1000,189,81,Right,86,84,97,100,91,99
Noud De Vries,24,Netherlands,Manchester City,Premier League,CM,81,78,10530000,1000,180,67,Right,78,84,83,71,73,96
Jack Johnson,21,England,Manchester City,Premier League,CM,84,81,10756200,1000,177,72,Right,89,75,96,78,92,97
Santiago Rodrigues,33,Portugal,Manchester City,Premier League,CM,87,88,6960000,1000,173,63,Right,90,83,95,90,91,83
Hugo Sánchez,32,Spain,Manchester City,Premier League,CAM,84,82,7560000,1000,177,70,Left,93,78,92,84,72,83
Francesco Ricci,33,Italy,Manchester City,Premier League,CAM,77,73,6160000,1000,170,60,Left,77,80,87,87,63,74
Oliver Miller,21,England,Manchester City,Premier League,LM,86,89,11347699,1000,184,79,Right,96,80,87,90,72,72
Arthur Willems,21,Belgium,Manchester City,Premier League,RM,75,88,10383750,1000,185,76,Left,72,70,72,89,57,67
Bautista Fernández,29,Argentina,Manchester City,Premier League,LW,75,89,9000000,1000,172,72,Right,88,83,81,80,53,71
Heitor Rodrigues,26,Brazil,Manchester City,Premier League,RW,78,93,10140000,1000,179,80,Right,75,68,82,92,66,71
Leo López,23,Spain,Manchester City,Premier League,CF,85,82,11050000,1000,192,84,Right,89,80,89,97,64,94
Noah Bakker,30,Netherlands,Manchester City,Premier League,ST,77,76,8470000,1000,182,71,Left,89,71,75,81,66,73
Heitor Rodrigues,28,Brazil,Manchester City,Premier League,ST,89,92,11570000,1000,192,78,Left,104,92,87,85,59,89
Jonas Schneider,31,Germany,Manchester City,Premier League,ST,88,99,8800000,1000,189,88,Right,83,81,80,87,75,79
Gael Alves,25,Brazil,Arsenal,Premier League,GK,71,75,9230000,1000,196,82,Right,52,48,59,62,78,74
Adam Jacobs,25,Belgium,Arsenal,Premier League,GK,75,83,9750000,1000,185,76,Right,60,58,67,63,70,68
Mateo García,24,Argentina,Arsenal,Premier League,CB,76,85,9880000,1000,188,83,Left,73,51,72,73,81,79
Mateo Martínez,31,Spain,Arsenal,Premier League,CB,86,93,8600000,1000,193,88,Left,79,69,81,89,89,82
Alejandro Martínez,32,Spain,Arsenal,Premier League,CB,80,88,7200000,1000,192,80,Right,88,61,78,66,88,75
Levi Jansen,27,Netherlands,Arsenal,Premier League,CB,72,77,9360000,1000,192,87,Right,65,56,78,66,80,77
Bruno Gómez,24,Argentina,Arsenal,Premier League,LB,83,90,10790000,1000,175,71,Right,90,58,82,77,84,91
Lucas Goossens,28,Belgium,Arsenal,Premier League,LB,84,85,10920000,1000,185,76,Right,76,68,90,89,98,89
Leo López,24,Spain,Arsenal,Premier League,RB,76,75,9880000,1000,170,59,Left,81,70,68,75,84,77
Thiago Pérez,24,Argentina,Arsenal,Premier League,RB,74,89,9620000,1000,170,61,Right,71,54,80,73,70,76
Pablo González,33,Spain,Arsenal,Premier League,CDM,84,95,6720000,1000,191,86,Right,87,86,93,79,89,93
Louis Robert,33,France,Arsenal,Premier League,CDM,86,96,6880000,1000,193,85,Right,90,73,90,83,84,91
Arthur Oliveira,23,Brazil,Arsenal,Premier League,CM,77,84,10010000,1000,174,67,Left,80,75,82,84,81,85
Jack Miller,27,England,Arsenal,Premier League,CM,70,83,9100000,1000,182,83,Left,71,64,77,73,77,82
Louis Goossens,24,Belgium,Arsenal,Premier League,CM,78,86,10140000,1000,185,71,Right,78,75,78,82,72,92
Noah Smit,30,Netherlands,Arsenal,Premier League,CAM,70,67,7700000,1000,183,73,Right,70,61,73,77,60,61
Martim Pereira,33,Portugal,Arsenal,Premier League,CAM,82,85,6560000,1000,183,77,Left,92,72,94,78,73,74
Hugo García,24,Spain,Arsenal,Premier League,LM,76,71,9880000,1000,174,68,Left,86,69,89,77,70,69
Gael Santos,33,Brazil,Arsenal,Premier League,RM,75,79,6000000,1000,173,60,Right,82,77,76,72,62,63
Léo Martin,25,France,Arsenal,Premier League,LW,83,89,10790000,1000,172,69,Left,91,88,76,91,64,93
Miguel Martins,22,Portugal,Arsenal,Premier League,RW,86,99,11906700,1000,178,80,Right,94,99,94,89,66,83
Mateo Pérez,24,Spain,Arsenal,Premier League,CF,84,97,10920000,1000,187,85,Right,79,89,84,84,69,80
Theo Ferreira,24,Brazil,Arsenal,Premier League,ST,78,90,10140000,1000,178,71,Left,80,91,81,88,65,75
Tomás Rodrigues,32,Portugal,Arsenal,Premier League,ST,70,67,6300000,1000,182,75,Right,72,69,78,76,55,77
Milan Smit,31,Netherlands,Arsenal,Premier League,ST,80,86,8000000,1000,189,89,Right,84,78,77,78,56,80
Lucas Fernández,26,Spain,Liverpool,Premier League,GK,85,88,11050000,1000,194,82,Left,69,62,81,70,84,75
Lucas Bakker,23,Netherlands,Liverpool,Premier League,GK,71,83,9230000,1000,194,83,Right,61,44,56,60,76,76
Martim Ferreira,21,Portugal,Liverpool,Premier League,CB,78,88,10647000,1000,184,72,Right,83,55,86,83,74,77
Jonas Schmidt,24,Germany,Liverpool,Premier League,CB,73,85,9490000,1000,195,93,Right,82,67,70,74,80,82
Rodrigo Martins,25,Portugal,Liverpool,Premier League,CB,71,85,9230000,1000,194,82,Left,81,52,69,58,71,73
Paul Schneider,21,Germany,Liverpool,Premier League,CB,83,92,11275550,1000,194,94,Right,74,65,82,77,92,80
Mattia Esposito,27,Italy,Liverpool,Premier League,LB,73,85,9490000,1000,177,68,Right,67,50,64,63,77,77
Lourenço Rodrigues,32,Portugal,Liverpool,Premier League,LB,79,86,7110000,1000,178,80,Right,71,73,70,77,84,82
William Brown,31,England,Liverpool,Premier League,RB,70,73,7000000,1000,171,63,Right,76,65,74,63,70,78
Lourenço Rodrigues,26,Portugal,Liverpool,Premier League,RB,83,88,10790000,1000,180,70,Left,83,71,88,77,90,79
Lourenço Pereira,25,Portugal,Liverpool,Premier League,CDM,80,78,10400000,1000,195,92,Right,70,82,89,83,71,81
Milan Van der Meer,31,Netherlands,Liverpool,Premier League,CDM,84,80,8400000,1000,186,80,Right,78,78,93,89,77,79
Louis Maes,25,Belgium,Liverpool,Premier League,CM,70,82,9100000,1000,183,71,Left,63,69,68,80,64,80
Lucas Petit,34,France,Liverpool,Premier League,CM,85,95,5950000,1000,177,78,Right,79,82,86,94,91,84
Mateo Sánchez,26,Spain,Liverpool,Premier League,CM,86,89,11180000,1000,170,67,Right,85,89,99,91,80,95
Noud Jansen,26,Netherlands,Liverpool,Premier League,CAM,82,91,10660000,1000,180,73,Right,84,90,89,84,75,68
Gabriel Alves,27,Brazil,Liverpool,Premier League,CAM,74,84,9620000,1000,171,62,Right,79,67,83,72,68,59
Noah Schneider,22,Germany,Liverpool,Premier League,LM,85,88,11215749,1000,180,79,Right,82,85,97,92,75,90
Afonso Santos,24,Portugal,Liverpool,Premier League,RM,79,81,10270000,1000,172,72,Left,77,83,79,83,59,65
Miguel Rodrigues,25,Brazil,Liverpool,Premier League,LW,81,89,10530000,1000,174,68,Right,89,89,76,81,56,73
Jules Jacobs,27,Belgium,Liverpool,Premier League,RW,74,76,9620000,1000,184,78,Right,77,85,64,83,53,81
Paul Becker,26,Germany,Liverpool,Premier League,CF,79,94,10270000,1000,184,78,Right,83,75,81,89,52,76
Noah López,31,Argentina,Liverpool,Premier League,ST,79,74,7900000,1000,191,88,Right,74,87,70,93,64,78
Andrea Esposito,30,Italy,Liverpool,Premier League,ST,76,90,8360000,1000,182,72,Right,74,86,86,72,55,80
George Williams,21,England,Liverpool,Premier League,ST,79,84,10526750,1000,189,88,Left,80,73,86,85,65,85
Raphaël Robert,30,France,Manchester United,Premier League,GK,79,84,8690000,1000,188,88,Left,58,56,76,70,71,81
Harry Johnson,30,England,Manchester United,Premier League,GK,81,84,8910000,1000,197,93,Left,63,66,66,71,90,78
